,time_sec,number_total_car,number_departed_car,number_arrived_car,avg_wait_sec,avg_speed_mps,std_queue,avg_queue
307,9210,25,1,2,4.52,6.663947223580191,2.0879116360612584,1.125
308,9240,25,1,0,1.84,8.280261461272815,1.3169567191065923,0.625
309,9270,23,0,2,3.739130434782609,6.37926141389413,1.5360257159305635,0.875
310,9300,28,1,1,2.0714285714285716,8.442347409540071,0.8569568250501305,0.625
311,9330,22,0,2,3.227272727272727,7.503746939124508,1.653594569415369,0.625
312,9360,28,0,0,14.75,2.4569766939845694,2.384848003542364,2.25
313,9390,37,1,1,12.945945945945946,6.3965929654252625,3.018174116912409,1.875
314,9420,35,0,0,29.0,3.0659067505304947,4.715334028465004,2.625
315,9450,44,1,0,42.13636363636363,1.3138540500814728,6.392133837772798,4.125
316,9480,56,0,2,4.410714285714286,5.96469777933662,2.6457513110645907,1.5
317,9510,43,0,1,15.767441860465116,5.294283281169851,3.897114317029974,2.25
318,9540,38,0,1,3.526315789473684,8.181002360316684,1.8027756377319946,1.0
319,9570,29,0,1,5.724137931034483,7.091497937690024,1.964529205687714,1.125
320,9600,27,1,2,3.7037037037037037,7.893255490151374,1.3635890143294642,0.875
321,9630,24,0,1,1.4166666666666667,8.554065095135657,0.8660254037844386,0.5
322,9660,23,1,1,3.347826086956522,7.043068024954898,1.3635890143294642,0.875
323,9690,24,1,1,4.25,6.22529330822143,1.7320508075688772,1.0
324,9720,25,0,2,0.8,9.483443541668434,0.6614378277661477,0.25
325,9750,24,1,1,3.2083333333333335,7.2363640228260016,1.3919410907075054,0.75
326,9780,24,1,1,3.625,5.942851078333792,1.5,1.0
327,9810,27,1,2,3.111111111111111,8.037813777378167,1.299038105676658,0.75
328,9840,23,0,2,3.3043478260869565,8.643398898552984,0.8660254037844386,0.5
329,9870,22,1,2,4.045454545454546,6.63254188298082,1.5360257159305635,0.875
330,9900,24,0,2,4.041666666666667,7.517532767602215,1.299038105676658,0.75
331,9930,25,1,1,2.4,7.71361993934898,1.6393596310755,0.75
332,9960,24,1,1,2.125,8.244742070674064,0.9921567416492215,0.625
333,9990,22,0,3,3.1818181818181817,6.799951698298641,1.3919410907075054,0.75
334,10020,26,1,2,3.6923076923076925,7.006297034754615,1.6583123951777,1.0
335,10050,29,0,0,16.655172413793103,2.155353738218576,3.278719262151,2.5
336,10080,39,0,0,9.0,6.575437887281612,2.8256636388643286,1.625
337,10110,31,0,2,3.2903225806451615,8.33279713220608,1.5360257159305635,0.875
