,Simulation_step,avg_wait_time_30,reward_30,reward_epoch
310,3330,81.32394366197182,4.337594799566631,-81.32394366197182
311,3360,82.76510067114094,-1.4411570091691175,-82.76510067114094
312,3390,91.87671232876713,-9.111611657626185,-91.87671232876713
313,3420,96.32394366197182,-4.447231333204698,-96.32394366197182
314,3450,98.5,-2.176056338028175,-98.5
315,3480,98.8169014084507,-0.316901408450704,-98.8169014084507
316,3510,99.90140845070422,-1.0845070422535201,-99.90140845070422
317,3540,100.0,-0.09859154929577585,-100.0
318,3570,100.0,0.0,-100.0
319,3600,97.81428571428572,2.1857142857142833,-97.81428571428572
320,3630,95.53571428571429,2.278571428571425,-95.53571428571429
321,3660,92.3688524590164,3.1668618266978967,-92.3688524590164
322,3690,82.83333333333333,9.535519125683066,-82.83333333333333
323,3720,79.92035398230088,2.9129793510324475,-79.92035398230088
324,3750,81.1304347826087,-1.2100808003078214,-81.1304347826087
325,3780,84.90833333333333,-3.777898550724629,-84.90833333333333
326,3810,83.7984496124031,1.1098837209302275,-83.7984496124031
327,3840,80.72727272727273,3.0711768851303702,-80.72727272727273
328,3870,84.01324503311258,-3.2859723058398487,-84.01324503311258
329,3900,88.71052631578948,-4.697281282676897,-88.71052631578948
330,3930,91.38311688311688,-2.672590567327404,-91.38311688311688
331,3960,94.62091503267973,-3.237798149562849,-94.62091503267973
332,3990,94.02649006622516,0.594424966454568,-94.02649006622516
333,4020,96.70198675496688,-2.675496688741717,-96.70198675496688
334,4050,96.95172413793104,-0.24973738296415604,-96.95172413793104
335,4080,98.3103448275862,-1.3586206896551687,-98.3103448275862
336,4110,100.0,-1.6896551724137936,-100.0
337,4140,100.0,0.0,-100.0
338,4170,100.0,0.0,-100.0
339,4200,99.1048951048951,0.8951048951048932,-99.1048951048951
340,4230,94.79452054794521,4.3103745569498955,-94.79452054794521
341,4260,95.32876712328768,-0.5342465753424648,-95.32876712328768
342,4290,94.46268656716418,0.8660805561234923,-94.46268656716418
343,4320,97.7457627118644,-3.2830761447002175,-97.7457627118644
344,4350,98.2051282051282,-0.45936549326380316,-98.2051282051282
345,4380,98.91891891891892,-0.7137907137907149,-98.91891891891892
346,4410,93.72649572649573,5.192423192423192,-93.72649572649573
347,4440,93.9298245614035,-0.2033288349077793,-93.9298245614035
348,4470,86.2135922330097,7.716232328393801,-86.2135922330097
349,4500,77.18181818181819,9.031774051191519,-77.18181818181819
350,4530,70.8173076923077,6.364510489510494,-70.8173076923077
351,4560,72.17757009345794,-1.3602624011502513,-72.17757009345794
352,4590,80.24770642201835,-8.070136328560409,-80.24770642201835
353,4620,85.09734513274336,-4.849638710725003,-85.09734513274336
354,4650,83.54918032786885,1.548164804874503,-83.54918032786885
355,4680,82.15151515151516,1.3976651763536978,-82.15151515151516
356,4710,84.42142857142858,-2.269913419913422,-84.42142857142858
357,4740,87.28571428571429,-2.864285714285714,-87.28571428571429
358,4770,93.79591836734694,-6.510204081632651,-93.79591836734694
359,4800,95.55944055944056,-1.7635221920936175,-95.55944055944056
360,4830,92.61379310344827,2.9456474559922867,-92.61379310344827
361,4860,92.39041095890411,0.2233821445441606,-92.39041095890411
362,4890,94.15753424657534,-1.7671232876712253,-94.15753424657534
363,4920,98.18493150684931,-4.027397260273972,-98.18493150684931
364,4950,99.97260273972603,-1.7876712328767184,-99.97260273972603
365,4980,97.87596899224806,2.0966337474779664,-97.87596899224806
366,5010,87.73484848484848,10.141120507399577,-87.73484848484848
367,5040,79.575,8.159848484848482,-79.575
368,5070,66.21621621621621,13.358783783783792,-66.21621621621621
369,5100,64.15384615384616,2.06237006237005,-64.15384615384616
370,5130,71.63888888888889,-7.485042735042725,-71.63888888888889
371,5160,85.19266055045871,-13.553771661569826,-85.19266055045871
372,5190,91.29729729729729,-6.10463674683858,-91.29729729729729
373,5220,92.83185840707965,-1.5345611097823593,-92.83185840707965
374,5250,89.59166666666667,3.240191740412982,-89.59166666666667
375,5280,88.7063492063492,0.8853174603174665,-88.7063492063492
376,5310,88.97637795275591,-0.2700287464067088,-88.97637795275591
377,5340,89.58333333333333,-0.6069553805774177,-89.58333333333333
378,5370,86.88148148148149,2.701851851851842,-86.88148148148149
379,5400,85.02816901408451,1.8533124673969752,-85.02816901408451
380,5430,85.89864864864865,-0.8704796345641341,-85.89864864864865
381,5460,91.85135135135135,-5.952702702702709,-91.85135135135135
382,5490,97.79729729729729,-5.945945945945937,-97.79729729729729
383,5520,99.69594594594595,-1.8986486486486598,-99.69594594594595
384,5550,100.0,-0.30405405405404906,-100.0
385,5580,100.0,0.0,-100.0
386,5610,99.26950354609929,0.730496453900713,-99.26950354609929
387,5640,98.58518518518518,0.684318360914105,-98.58518518518518
388,5670,96.93233082706767,1.6528543581175086,-96.93233082706767
389,5700,91.13913043478261,5.793200392285058,-91.13913043478261
390,5730,80.04807692307692,11.091053511705695,-80.04807692307692
391,5760,71.57627118644068,8.471805736636242,-71.57627118644068
392,5790,74.9327731092437,-3.3565019228030195,-74.9327731092437
393,5820,82.7560975609756,-7.8233244517319065,-82.7560975609756
394,5850,89.65322580645162,-6.897128245476011,-89.65322580645162
395,5880,93.312,-3.658774193548382,-93.312
396,5910,92.73643410852713,0.5755658914728627,-92.73643410852713
397,5940,90.75555555555556,1.980878552971575,-90.75555555555556
398,5970,88.65,2.1055555555555543,-88.65
399,6000,87.22602739726027,1.4239726027397381,-87.22602739726027
400,30,0.5416666666666666,-0.5416666666666666,-0.5416666666666666
401,60,9.275,-8.733333333333334,-9.275
402,90,22.017241379310345,-12.742241379310345,-22.017241379310345
403,120,32.43055555555556,-10.413314176245212,-32.43055555555556
404,150,46.666666666666664,-14.236111111111107,-46.666666666666664
405,180,62.48780487804878,-15.821138211382113,-62.48780487804878
406,210,75.90361445783132,-13.415809579782547,-75.90361445783132
407,240,81.72413793103448,-5.820523473203153,-81.72413793103448
408,270,84.57303370786516,-2.8488957768306875,-84.57303370786516
409,300,81.67708333333333,2.895950374531836,-81.67708333333333
410,330,84.18947368421053,-2.5123903508771974,-84.18947368421053
411,360,69.35632183908046,14.833151845130061,-69.35632183908046
412,390,73.51851851851852,-4.162196679438054,-73.51851851851852
413,420,75.52439024390245,-2.005871725383926,-75.52439024390245
414,450,79.12790697674419,-3.60351673284174,-79.12790697674419
415,480,82.71111111111111,-3.583204134366923,-82.71111111111111
416,510,82.23157894736842,0.4795321637426895,-82.23157894736842
417,540,83.86868686868686,-1.6371079213184458,-83.86868686868686
418,570,82.79245283018868,1.0762340384981854,-82.79245283018868
419,600,85.86111111111111,-3.0686582809224348,-85.86111111111111
420,630,74.14,11.721111111111114,-74.14
421,660,66.97196261682242,7.168037383177577,-66.97196261682242
422,690,61.92372881355932,5.048233803263102,-61.92372881355932
423,720,64.5923076923077,-2.6685788787483773,-64.5923076923077
424,750,75.39855072463769,-10.806243032329988,-75.39855072463769
425,780,82.10958904109589,-6.7110383164582,-82.10958904109589
426,810,88.51333333333334,-6.403744292237448,-88.51333333333334
427,840,89.75796178343948,-1.2446284501061484,-89.75796178343948
428,870,90.93251533742331,-1.1745535539838272,-90.93251533742331
429,900,94.12121212121212,-3.1886967837888136,-94.12121212121212
430,930,97.49090909090908,-3.3696969696969603,-97.49090909090908
